fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated,DatesyncNPD
ALBUSKJELL,Development ,"Albuskjell is a field in the southern part of the Norwegian sector in the North Sea, 20 kilometres west of the Ekofisk field. The water depth is 70 metres. Albuskjell was discovered in 1972, and the plan for development and operation (PDO) was approved in 1975. The field was developed with two steel installations for drilling and production. Production started in 1979.",43437,08.02.2020,17.02.2021
ALBUSKJELL,Reservoir ,"Albuskjell produced gas and condensate from Maastrichtian and lower Paleocene chalk. The deposit is located above a salt dome. The main reservoir is in the Upper Cretaceous Tor Formation, at a depth of 3,200 metres. The overlying Ekofisk Formation has poorer reservoir quality and has hardly been drained. There are significant remaining resources.",43437,16.03.2018,17.02.2021
ALBUSKJELL,Recovery ,The field was produced by pressure depletion.,43437,11.04.2017,17.02.2021
ALBUSKJELL,Transport ,The well stream was transported via pipeline to the Ekofisk Complex for export.,43437,16.03.2018,17.02.2021
ALBUSKJELL,Status ,The field was shut down in 1998 and the platforms were removed in 2011 and 2013. Any redevelopment of the field must be viewed in combination with other decommissioned fields in the area.,43437,02.02.2021,17.02.2021
ALVE,Development ,"Alve is a field in the Norwegian Sea, 16 kilometres southwest of the Norne field. The water depth is 370 metres. Alve was discovered in 1990, and the plan for development and operation (PDO) was approved in 2007. The development concept is a standard subsea template with four well slots and three production wells. Alve is tied to the Norne production, storage and offloading vessel (FPSO) by a pipeline. Production started in 2009.",4444332,12.02.2020,17.02.2021
ALVE,Reservoir ,"Alve produces oil and gas from sandstone of Early and Middle Jurassic age in the Tilje, Not and Garn Formations. The reservoir lies at a depth of 3,600 metres and has moderate to good quality. ",4444332,25.04.2019,17.02.2021
ALVE,Recovery ,The field is produced by pressure depletion.,4444332,16.03.2018,17.02.2021
ALVE,Transport ,The oil is offloaded from the Norne FPSO and the gas is transported via the Norne pipeline to the Åsgard Transport System (ÅTS) and further to the Kårstø terminal for export. ,4444332,25.04.2019,17.02.2021
ALVE,Status ,Production from Alve is constrained by the commercial agreement with the Norne licence and the gas handling capacity on the Norne FPSO. Alve can produce above volumes reserved in the commercial agreement if there is available capacity on the Norne FPSO.,4444332,12.02.2020,17.02.2021
ALVHEIM,Development ,"Alvheim is a field in the central part of the North Sea, ten kilometres west of the Heimdal field and near the border to the UK sector. The field includes the six discoveries 24/6-2 (Kameleon), 24/6-4 (Boa), 25/4-7 (Kneler), 25/4-10 S (Viper), 25/7-5 (Kobra) and 25/4-3 (Gekko). Boa lies partly in the UK sector. The water depth is 120-130 metres. Alvheim was discovered in 1998, and the plan for development and operation (PDO) was approved in 2004. The field is developed with subsea wells tied to a production, storage and offloading vessel, Alvheim FPSO. Production started in 2008. The Vilje, Volund and Bøyla fields are tied-back to Alvheim. The Skogul discovery has been tied-back to the Alvheim FPSO via the Vilje field.",2845712,12.02.2020,17.02.2021
ALVHEIM,Reservoir ,"Alvheim produces oil and gas from Paleocene sandstone in the Hermod and Heimdal Formations. The reservoirs are in submarine fan deposits and lie mostly at depths of 2,100 to 2,200 metres. The reservoir quality is good. ",2845712,25.04.2019,17.02.2021
ALVHEIM,Recovery ,The field is produced by natural water drive from an underlying aquifer.,2845712,16.03.2018,17.02.2021
ALVHEIM,Transport ,The oil is stabilised and stored on the Alvheim FPSO before it is exported by tankers. Processed rich gas is transported by pipeline from Alvheim to the Scottish Area Gas Evacuation (SAGE) pipeline on the UK continental shelf.,2845712,11.04.2017,17.02.2021
ALVHEIM,Status ,"Due to greater in-place volumes and longer infill wells, Alvheim has seen a significant increase in the estimated recoverable volumes of oil and gas since the PDO. The capacity of the Alvheim gas compressor is limited due to further development of the Boa deposit. Measures including reducing gas lift and choking back or shutting in of wells were taken to maximise the overall production. Alvheim production has been better than anticipated. Alvheim is a potential hub for more discoveries in the area, for example 25/4-2 (Trine) and 25/5-9 (Trell).",2845712,04.02.2021,17.02.2021
ATLA,Development ,"Atla is a field in the central part of the North Sea, 20 kilometres northeast of the Heimdal field. The water depth is 120 metres. Atla was discovered in 2010, and the plan for development and operation (PDO) was approved in 2011. The field has been developed with one production well which is connected to a subsea facility, and is tied-back to Heimdal via the Skirne field. Production started in 2012.",21106284,12.02.2020,17.02.2021
ATLA,Reservoir ,"Atla produces gas from Middle Jurassic sandstone in the Brent Group. The reservoir lies at a depth of 2,700 metres and has good quality. ",21106284,25.04.2019,17.02.2021
ATLA,Recovery ,The field is produced by pressure depletion.,21106284,16.03.2018,17.02.2021
ATLA,Transport ,The well stream is transported via the Skirne/Byggve subsea facility to Heimdal for processing and export.,21106284,16.03.2018,17.02.2021
ATLA,Status ,"The field is in the tail phase and has produced intermittently after pressure build-up during the last few years. Atla was producing the first part of 2019, but no further commercial production is expected. A decommissioning plan was submitted to the authorities in 2015. According to the formal disposal decision, the facility must be removed by the end of 2021.",21106284,25.02.2020,17.02.2021
BALDER,Reservoir ,"Balder, including Ringhorne, produces oil from several separate deposits in sandstone of Jurassic, Paleocene and Eocene age. Balder produces from the Heimdal and Hermod Formations as well as from the injected sand complex above them. Ringhorne produces from the Hugin, Ty and Hermod Formations. The reservoirs are of good to very good quality. The Balder reservoir lies at a depth of 1,700 metres and the Ringhorne reservoir at a depth of 1,900 metres. ",43562,25.04.2019,17.02.2021
BALDER,Status ,"A revised PDO for Balder and Ringhorne was approved in June 2020. The development plan includes lifetime extension and relocation of the Jotun FPSO, and drilling of new subsea wells. The FPSO is currently at a shipyard undergoing maintenance and upgrades. It is scheduled to be back on the field in 2022.  ",43562,17.02.2021,17.02.2021
BALDER,Development ,"Balder is a field in the central part of the North Sea, just west of the Grane field. The water depth is 125 metres. Balder was discovered in 1967, and the initial plan for development and operation (PDO) was approved in 1996. Production started in 1999. The field has been developed with subsea wells tied-back to the Balder production, storage and offloading vessel (FPSO). The Ringhorne deposit, located nine kilometres north of the Balder FPSO, is included in the Balder complex. Ringhorne is developed with a combined accommodation, drilling and wellhead facility, tied-back to the Balder FPSO and Jotun FPSO for processing, crude oil storage and gas export. The nearby field Ringhorne Øst is also tied-back to Balder via the Ringhorne platform. The PDO for Ringhorne Jura was approved in 2000 and production started in 2003. The Ringhorne Vest PDO exemption was approved in 2003 and production started in 2004. An amended PDO for Ringhorne was approved in 2007.",43562,12.02.2020,17.02.2021
BALDER,Recovery ,"Balder and Ringhorne produce primarily by natural aquifer drive, but reinjection of produced water is used for pressure support, especially into the Ringhorne Jurassic reservoir. Excess water is injected into the Utsira Formation. Gas is also reinjected if the gas export system is down.",43562,11.04.2017,17.02.2021
BALDER,Transport ,The oil is transported by tankers. Excess gas from Balder and Ringhorne is exported from the Jotun FPSO through the Statpipe system to Kårstø and from there on to continental Europe.,43562,12.02.2020,17.02.2021
BAUGE,Development ,"Bauge is a field on Haltenbanken in the southern Norwegian Sea, 15 kilometres east of the Njord field. The water depth is 280 metres. Bauge was discovered in 2013, and the plan for development and operation (PDO) was approved in June 2017. The field will be developed with two production wells tied-back to the Njord A facility. A water injection well will be drilled from the existing subsea template on the Hyme field.",29446221,26.02.2020,17.02.2021
BAUGE,Reservoir ,"The main reservoirs contain oil in Lower and Middle Jurassic sandstone in the Tilje and Ile Formations, at a depth of 2,700 metres. The reservoirs are segmented and have moderate quality. ",29446221,25.04.2019,17.02.2021
BAUGE,Recovery strategy ,"The field will be produced by partial pressure maintenance from phased water injection, which will start a few years after production start-up.",29446221,16.03.2018,17.02.2021
BAUGE,Transport ,"The well stream will be transported to the Njord A platform for processing. Produced oil will be transported by pipeline to the storage vessel Njord B, and further by tankers to the market. Gas from the field is exported through a 40-kilometre pipeline connected to the Åsgard Transport System (ÅTS) and further to the Kårstø terminal. ",29446221,25.04.2019,17.02.2021
BAUGE,Status ,The field is under development.,29446221,02.02.2021,17.02.2021
BLANE,Development ,"Blane is a field in the southern part of the Norwegian sector in the North Sea, 35 kilometres southwest of the Ula field. The field is located on the border to the UK sector and the Norwegian share of the field is 18 per cent. The water depth is 70 metres. Blane was discovered in 1989, and the plan for development and operation (PDO) was approved in 2005. The field has been developed with a subsea facility on the British continental shelf with two horizontal production wells tied to Ula. Production started in 2007.",3437650,12.02.2020,17.02.2021
BLANE,Reservoir ,"Blane produces oil from Paleocene sandstone in the Forties Formation. The reservoir is of moderate to good quality and lies at a depth of 3,100 metres. ",3437650,25.04.2019,17.02.2021
BLANE,Recovery ,"Until 2019, the field was produced with pressure support from injection of produced water from the Blane, Tambar and Ula fields. The field is now produced by pressure depletion. In addition, gas lift is used in the wells.",3437650,17.02.2021,17.02.2021
BLANE,Transport ,"The well stream is transported by pipeline to the Ula field for processing. The oil is exported further to Teesside in the UK, while the gas is sold to Ula for injection into the Ula reservoir.",3437650,16.03.2018,17.02.2021
BLANE,Status ,"Production from the field has generally been good. Water injection stopped because of a rupture in the flowline. The impact of water injection is currently being studied. In order to maximise recovery on Blane, an infill well is being evaluated.",3437650,17.02.2021,17.02.2021
BRAGE,Status ,"Brage has been producing for a long time, and work is still ongoing to find new ways of increasing recovery from the field. New wells are being drilled. ",43651,25.04.2019,17.02.2021
BRAGE,Development ,"Brage is a field in the northern part of the North Sea, ten kilometres east of the Oseberg field. The water depth is 140 metres. Brage was discovered in 1980, and the plan for development and operation (PDO) was approved in 1990. The field has been developed with an integrated production, drilling and accommodation facility with a steel jacket. Production started in 1993. A PDO for Brage Sognefjord was approved in 1998. The authorities granted PDO exemptions for the Brent Ness and Bowmore Brent deposits in 2004 and 2007, respectively.",43651,12.02.2020,17.02.2021
BRAGE,Reservoir ,"Brage produces oil from sandstone of Early Jurassic age in the Statfjord Group, and sandstone of Middle Jurassic age in the Brent Group and the Fensfjord Formation. There is also oil and gas in Upper Jurassic sandstone in the Sognefjord Formation. The reservoirs lie at a depth of 2,000-2,300 metres. The reservoir quality varies from poor to excellent.",43651,16.03.2018,17.02.2021
BRAGE,Recovery ,"The recovery strategy in Statfjord and Fensfjord is water injection. In the Brent Group, the production strategy is water alternating gas (WAG) injection, and the Sognefjord Formation is produced by depletion and by pressure support from the aquifer.",43651,16.03.2018,17.02.2021
BRAGE,Transport ,The oil is transported by pipeline to the Oseberg field and further through the Oseberg Transport System (OTS) pipeline to the Sture terminal. A gas pipeline is tied-back to Statpipe.,43651,16.03.2018,17.02.2021
BRYNHILD,Development ,"Brynhild is a field in the southern part of the Norwegian sector in the North Sea, 10 kilometres from the UK sector and 55 kilometres northwest of the Ula field. The water depth is 80 metres. Brynhild was discovered in 1992, and the plan for development and operation (PDO) was approved in 2011. The development concept was a subsea template including four wells, tied-in to the Haewene Brim production, storage and offloading vessel (FPSO) located on the Pierce field in the British sector. Production started in 2014.",21123063,08.02.2020,17.02.2021
BRYNHILD,Reservoir ,"Brynhild produced oil from sandstone of Late Jurassic age in the Ula Formation. The reservoir lies at a depth of 3,300 metres, and the reservoir conditions are close to high pressure, high temperature (HPHT) conditions. ",21123063,25.04.2019,17.02.2021
BRYNHILD,Recovery ,The field was produced by pressure support from water injection. Water for injection was supplied from the Pierce field. ,21123063,25.04.2019,17.02.2021
BRYNHILD,Transport ,"The well stream was transported by pipeline to the Haewene Brim FPSO for processing. The processed oil was exported by shuttle tankers to the market, and gas was reinjected into the Pierce field. ",21123063,25.04.2019,17.02.2021
BRYNHILD,Status ,"Production from Brynhild ceased in 2018. According to the formal removal resolution, decommissioning must be completed by the end of June 2022.",21123063,02.02.2021,17.02.2021
BYRDING,Reservoir ,"Byrding produces oil and gas from turbiditic sandstone of Late Jurassic age in the Heather Formation. The reservoir lies at a depth of 3,050 metres. It is structurally complex and has good reservoir quality.",28975067,12.02.2020,17.02.2021
BYRDING,Recovery strategy ,The field is produced by pressure depletion.,28975067,16.03.2018,17.02.2021
BYRDING,Transport ,The well stream is routed through Fram Vest to Troll C for processing. The oil is transported further in the Troll Oil Pipeline II to the Mongstad terminal and the gas is exported via Troll A to the Kollsnes terminal.,28975067,12.02.2020,17.02.2021
BYRDING,Status ,The field is producing with a higher gas/oil ratio (GOR) than expected. ,28975067,25.04.2019,17.02.2021
BYRDING,Development ,"Byrding is a field in the northern part of the North Sea, four kilometres north of the Fram H-Nord field and 30 kilometres north of the Troll C facility. The water depth is 360 metres. Byrding was discovered in 2005, and the plan for development and operation (PDO) was approved in 2017. The development concept is a two-branch multilateral (MLT) well, which was drilled from the Fram H-Nord template. Production started in 2017.",28975067,12.02.2020,17.02.2021
