unit,NPDIDunit,Level,parentunit,country,lithology,period
Agat Formation ,agat formation ,FORMATION,cromer knoll group,Norway,"In the type well the formation consists of white to light grey, fine- to medium-grained, moderately to well-sorted sandstones alternating with grey claystones. The sandstones are usually micaceous and glauconitic and sometimes contain small amounts of pyrite. The sandstones in the type well are carbonate- and silica-cemented in zones. In the reference well, the upper part of the formation consists of medium- and coarse-grained to pebbly sandstones and conglomerates alternating with dark grey claystones. The conglomerates are both matrix- and grain-supported. The claystones are often found as 0.5-5 m thick layers between the sandstones. They are dark grey, usually calcareous and contain varying amounts of siltstone. They may occasionally pass into light grey, micaceous, calcareous and glauconitic siltstones. ",Aptian-Albian (possibly Early Cenomanian). 
Akkar Member,akkar member,FORMATION,fruholmen formation,Norway,"Grey to dark grey shales, interbedded sandstones, coal. ",Norian (based on palynology). 
Alge Member,alge member,FORMATION,hekkingen formation,Norway,The Alge Member forms the lower high gamma intensity part of the Hekkingen Formation and consists of black paper shales rich in organic material. ,"Late Oxfordian – Kimmeridgian, based on ammonites and palynology. "
Amundsen Formation,amundsen formation,FORMATION,dunlin group,Norway,"In the well type section the formation consists of light to dark grey, firm, non-calcareous siltstones and shales, in part carbonaceous and pyritic. Thin, fine to coarse grained, grey calcareous and glauconitic sandstone beds are present in the marginal areas of the basin. In the Norwegian sector the formation is more calcareous, especially in the lower part. ",Probably Hettangian to Sinemurian or Early Pliensbachian. 
Andrew Formation,andrew formation,FORMATION,rogaland group,United Kingdom,"The Andrew Formation consists of sandstones with claystone interbeds. The sandstones are generally very fine to medium grained and are composed of subangular to subrounded, clear to orange-stained quartz and feldspar grains. The sandstones are poorly sorted and often have a calcareous cement. Thin stringers of limestone occur. ",Paleocene. 
Balder Formation,balder formation,FORMATION,rogaland group,United Kingdom,"The Balder Formation is composed of laminated varicoloured, fissile shales with interbedded grey, green and buff, often pyritic, sandy tuffs and occasional stringers of limestone, dolomite and siderite. Sandstones are locally present, as shown in the type well (Fig 5.57). ",Paleocene - Early Eocene. 
Broom Formation,broom formation,FORMATION,brent group,United Kingdom,"In the type well it is a pale grey to brown, coarse-grained poorly sorted conglomeratic sandstone containing shale clasts. ",Late Toarcian to Bajocian. 
Brygge Formation,brygge formation,FORMATION,hordaland group,United Kingdom,"Mainly claystone with stringers of sandstone, siltstone, limestone and marl. Pyrite, glauconite and shell fragments are seen in the sandstones. ",Early Eocene to Early Miocene. 
Børglum unit,børglum unit,FORMATION,rogaland group,United Kingdom,"The Andrew Formation consists of sandstones with claystone interbeds. The sandstones are generally very fine to medium grained and are composed of subangular to subrounded, clear to orange-stained quartz and feldspar grains. The sandstones are poorly sorted and often have a calcareous cement. Thin stringers of limestone occur. ",Paleocene. 
Båt Group,båt group,FORMATION,rogaland group,United Kingdom,"The Andrew Formation consists of sandstones with claystone interbeds. The sandstones are generally very fine to medium grained and are composed of subangular to subrounded, clear to orange-stained quartz and feldspar grains. The sandstones are poorly sorted and often have a calcareous cement. Thin stringers of limestone occur. ",Paleocene. 
Cook Formation,cook formation,FORMATION,dunlin group,Norway,"In the type well section the formation is dominantly a marine siltstone with minor grey, silty claystone intercalations. The siltstones and claystones may contain sandy streaks, becoming more prominent away from the type well, especially in Norwegian waters. On the Horda Platform and along its western margin, sandstones are the dominant lithology in the formation. The sands are white to greyish brown, very fine to fine grained, subangular to subrounded and well sorted. Occasionally thin layers of medium to coarse grained sandstones are found. The sandstones are hard to friable. Silica is the most common cement. Mica, glauconite, carbonaceous material and calcareous cement may be present. ",Pliensbachian to Toarcian. 
Drake Formation,drake formation,FORMATION,dunlin group,Norway,"In the type well the lower part of the formation consists of medium grey, slightly sandy, calcareous claystone. The upper part is dark grey to black, fissile, micaceous shale containing calcareous nodules. On the Horda Platform and along its western margin white to grey, fine to coarse sandstones are found within the formation. The sandstones are often hard and calcite cemented. They also show and ""upward coarsening"" on the gamma ray log. The claystone is often silty. ",Toarcian to Bajocian. 
Draupne Formation,draupne formation,FORMATION,viking group,Norway,"The formation consists of dark grey-brown to black, usually non-calcareous, carbonaceous, occasionally fissile claystone. It is characterized by very high radioactivity (often above 100 API units) which is a function of organic carbon content. It has anomalously low velocity, density and high resistivity. Minor limestone streaks and concretions occur throughout the formation. In addition interbedded sandstones and siltstones can cause a reduction in gamma ray response. The reference well 15/3-1 S is an atypical example of the Draupne Formation which has been chosen to illustrate these arenaceous intercalations.^An informal three-fold subdivision has been identified, and is best recognizable along the basin rim areas where a middle high gamma ray zone separates two zones of lower gamma ray response (e.g. 210/30-1). ",The formation ranges from Oxfordian to Ryazanian in age. 
Egersund Formation,egersund formation,FORMATION,boknfjord group,Norway,"In the type well the formation consists of dark grey micromicaceous shales and siltstones with brownish, locally oolitic, microcrystalline carbonate beds and occasionally sandstone streaks. The latter become more important east and north-east of the type well. ",Callovian to Kimmeridgian. 
Eiriksson Formation,eiriksson formation,FORMATION,statfjord group,Denmark,"In the type well the formation is characterised by massive sandstone beds, generally correlatable between the wells, interbedded with hard grey shales. The sandstones are white to light grey, medium to very coarse grained with thin horizons of granules, pebbles, and lignite fragments, often concentrated in channels and along cross-bedding foresets. They contain slightly less kaolinite matrix, mica and rock fragments than the sandstones of the Raude Formation. The shales are slightly and commonly micaceous and carbonaceous. In the area of the Statfjord Field the sandstone beds average about 5 m in thickness and the shale beds average about 2.5 m. The sediments of this formation appear more mature than those of the Raude Formation, and marine fossils and glauconite are present near the top of the formation in the type well. ","In the type well it is Hettangian, possibly extending into the early Sinemurian. However, to the west and south the base of the formation appears to be progressively older. "
Ekofisk Formation,ekofisk formation,FORMATION,shetland group,Norway,"In the type well, the formation comprises white, tan or beige, hard, dense, sometimes finely crystalline limestones, although softer chalky textures are also present. The formation usually consists of white to light grey, beige to brownish, mudstones or wackestones with occasional packstones/grainstones and pisolitic horizons, often alternating with argillaceous chalks, chalky limestones or limestones. Thin beds of grey, calcareous, often pyritic shales or clays are most common in the lower part while brownish-grey cherts occur rarely to abundantly throughout the formation. ",Danian. 
Eldfisk Formation,eldfisk formation,FORMATION,tyne group,Norway,"The Eldfisk Formation consists predominantly of sandstone but contains substantial interbeds of shale. In the type well the sandstone is dark yellowish brown, fine to coarse grained, poorly sorted and generally angular, while the shale is medium light grey to dark grey. Both the sandstone and the shale contain calcareous streaks which produce high amplitude peaks on the sonic log. ",Kimmeridgian. 
Etive Formation,etive formation,FORMATION,brent group,United Kingdom,"The formation consists of massive grey-brown to clear, fine to coarse, occasionally pebbly and cross-bedded sandstones. The mica-content is generally low. Calcite cemented stringers are also present, especially on the Horda Platform. ",Bajocian. 
Falk Formation,falk formation,FORMATION,gipsdalen group,Norway,"The formation consists of a mixture of shallow marine sandstones, marine siltstones and shallow marine carbonates. In 7120/2-1, the lower 51 m consists of stacked, less than 5 m thick rhythms of coarse-grained pebbly sandstone with minor shale and dolomite (Fig 9.24). Trough cross-bedding and horizontal lamination is common. This lower development is overlain by a 125 m thick unit of rhythmically interbedded shales, fossiliferous dolomitic mudstones to packstones (locally with anhydrite or chert nodules), and fine- to medium-grained sandstones with a few pebbly sandstone beds. Crinoids, brachiopods, fusulinids, small foraminifers and corals are the most abundant fossils, together with occasional phylloid algae and palaeoaplysinid plates. In the lower part of core 7029/03-U-02 and in 7030/03-U-01, the Falk Formation consists of 1 to 5 m thick fining upward units of light grey, medium- to coarse-grained, pebbly, trough cross-bedded to planar-laminated sandstones grading upwards into laminated greenish silty shales. Each unit has a sharp and erosive lower boundary. Marine fossils are limited to very rare brachiopods. The upper part of the formation in 7128/6-1 and 7029/03-U-02 consists of cycles of fine- to very fine-grained sandstone, green silty shale and carbonate wackestones to boundstones (Fig 9.25), (Fig 9.27), (Fig 9.29). ","Stemmerik et al. (1995, 1998) suggested a late Bashkirian to early-middle Gzelian age based on fusulinid data. The formation is of late Bashkirian to Moscovian age in 7120/2-1, where the lower part of the overlying Ørn Formation is dated as being of late Moscovian age (Stemmerik et al. 1998). The top of the formation in 7030/03-U-01 apparently coincides with the Kasimovian-Gzelian boundary whereas an even younger age is indicated in 7029/03-U-02 where the uppermost part of the formation extends into the early to middle Gzelian (Stemmerik et al. 1995; Bugge et al. 1995). In 7128/6-1, the formation is of late Moscovian to early Gzelian age (Ehrenberg et al. 1998a). "
Farsund Formation,farsund formation,FORMATION,tyne group,Norway,"The Farsund Formation consists predominantly of medium to dark grey shale. The shale is often well laminated and contains frequent calcareous streaks. Sandstone stringers are common in the type well 2/7-3, particularly in the lowermost part of the sequence. In the reference well 7/12-2, closer to the flank of the Southern Vestland Arch, a thinner Farsund Formation is present as a clear ""coarsening upward cycle"", becoming consistently less radioactive towards the top of the unit. ",Kimmeridgian to Volgian. 
Fensfjord Formation,fensfjord formation,FORMATION,viking group,Norway,"The formation consists of sandstones, grey-brown in colour, fine to medium grained, well sorted and moderately friable to consolidated. Calcite cemented sandstones occur in bands containing common bioclastic material. In the type well it is often carbonaceous and occasionally micaceous. Minor shale intercalations occur throughout. The formation has a ""serrate"" log character, composed of 3-5 m thick units arranged in several cycles. ",Callovian. 
Fiskebank Formation,fiskebank formation,FORMATION,rogaland group,United Kingdom,"In the type section the major lithology is very fine grained, well sorted, slightly silty sandstone, which occasionally has calcareous cement. ",Late Paleocene. 
Flekkefjord Formation,flekkefjord formation,FORMATION,boknfjord group,Norway,"The formation consists of dark grey shales which are variably carbonaceous, pyritic and may contain thin limestone stringers. ",Ryazanian. 
Forties Formation,forties formation,FORMATION,rogaland group,United Kingdom,"The formation typically consists of interbedded sandstones, siltstones and claystones, becoming predominantly sandy higher in the section. The sand is fine to coarse grained, poorly to moderately sorted and contains minor amounts of lignite, pyrite, glauconite and mica. The sands encountered in the Norwegian sector were deposited distally in a lobe, and consist of very fine to fine, angular to subangular grains often with mica and a calcareous cement. ",Late Paleocene. 
Frigg Formation,frigg formation,FORMATION,hordaland group,United Kingdom,"The formation consists of sandstones with some lenses and streaks of silty claystone. The sandstones are poorly consolidated, light brown to buff, micaceous and carbonaceous, and very fine to medium, occasionally coarse grained. Some layers have a calcareous cement. Traces of glauconite are present. The silty claystones are green to grey and carbonaceous. ",Early Eocene. 
Fruholmen Formation,fruholmen formation,FORMATION,realgrunnen subgroup,Norway,"Basal grey to dark grey shales pass gradually upwards into interbedded sandstones, shales and coals. Sand dominates in the middle of the formation in several wells, while the upper part is more shaly, prompting a tripartite subdivision into (ascending order) the Akkar (Squid) Reke (Prawn) and Krabbe (Crab) members. The extent of these members in the type and reference wells are shown in (Fig 4.46 , 4.47). ","The base of the formation is early Norian. The top corresponds in general to the Triassic/ Jurassic transition, but available data indicate that it is somewhat diachronous. "
Fuglen Formation,fuglen formation,FORMATION,adventdalen group,Norway,"Pyritic mudstones with interbedded thin limestones give characteristic gamma, sonic and density log responses. The shales are dark brown and the limestones white to brownish grey. ",Late Callovian to Oxfordian. 
Garn Formation,garn formation,FORMATION,fangst group,Norway,"The Garn Formation consists of medium to coarse-grained, moderately to well-sorted sandstones. Mica-rich zones are present. The sandstone is occasionally carbonate-cemented. ",Bajocian to Bathonian. 
Grid Formation,grid formation,FORMATION,hordaland group,United Kingdom,"The formation consists of sandstones with interbeds of claystone and siltstone. The sandstones often have a massive, ""blocky"", appearance as illustrated by type well 15/3-3 (Fig 5.64). Individual sandstone beds show little, or no evidence of fining-upwards or coarsening- upwards. The sandstones are very fine to fine, sometimes medium to coarse. Sorting is generally moderate to good. Traces of mica, pyrite, glauconite and fossil fragments are common. A higher argillaceous content is found in distal areas. Well 24/12-1 illustrates the interfingering of thicker claystone units of the Hordaland Group with the Grid Formation (Fig 5.61). Further subdivision may be possible in the future (see Remarks). ","Middle to Late Eocene, but wells 25/6-1 and 24/12-2 have given an Early Oligocene age. "
Hardråde Formation,hardråde formation,FORMATION,hordaland group,United Kingdom,"The formation consists generally of interbedded limestones and mudstones, except in the Troll area where it is thin and consists of a single limestone bed. The limestones are white or pale, moderately hard to very hard. The mudstones are medium to light grey, often silty and calcareous. ",Late Campanian to Maastrichtian. 
Haugesund Formation,haugesund formation,FORMATION,tyne group,Norway,"The Haugesund Formation consists predominantly of shale ranging in colour from light grey to brownish black. The shale is often carbonaceous and calcareous, and contains frequent thin sandstone interbeds. In general the upper part of the formation represents an overall ""coarsening-upward cycle"", becoming sandier and siltier upwards. ",Callovian to Early Kimmeridgian. In neither the type nor the reference wells have pre-late Oxfordian ages been proven but Callovian mudstones assignable to the Haugesund Formation occur in the vicinity of the reference well 3/5-2. 
Havert Formation,havert formation,FORMATION,sassendalen group,Norway,In the type well the formation consists of medium to dark grey shales with minor inter-bedded pale grey siltstones and sandstones comprising two generally coarsening upwards sequences. The reference section further north in the Hammerfest Basin shows a more monotonous silty shale sequence with only a very weak upwards coarsening trend. ,Palynomorphs suggest a Griesbachian to Dienerian age. 
Heather Formation,heather formation,FORMATION,viking group,Norway,In the type well the formation consists of medium to dark grey shales with minor inter-bedded pale grey siltstones and sandstones comprising two generally coarsening upwards sequences. The reference section further north in the Hammerfest Basin shows a more monotonous silty shale sequence with only a very weak upwards coarsening trend. ,Bathonian to Kimmeridgian. 
Heimdal Formation,heimdal formation,FORMATION,rogaland group,United Kingdom,"The formation is dominated by thick units of poorly sorted, fine to coarse grained, poorly cemented sandstones with variable amounts of mica, glauconite and detrital lignite. The sandstone units are interbedded with grey and black shales, limestones and sandy limestones. There is a wide range in number and thickness of interbedded lithologies. In general, the amount of carbonate increases towards the base of the formation. ",Paleocene. 
Hekkingen Formation,hekkingen formation,FORMATION,adventdalen group,Norway,"The formation consists of brownish-grey to very dark grey shale and claystone with occasional thin interbeds of limestone, dolomite, siltstone and sandstone. These minor clastic components are most common towards basinal margins. Lower parts of the formation show especially high gamma ray readings. This is used to differentiate the lower Alge from the upper Krill Member in the formation (Fig 4.50, 4.51) ","Palynomorphs suggest an age span of late Oxfordian/early Kimmeridgian to Ryazanian. There are local breaks in deposition at the base and top, probably most developed near the basinal axis. "
