,Well,Depth
0,1/2-1,94.0
1,1/2-2,114.0
2,1/3-1,97.0
3,1/3-10 A,117.0
4,1/3-2,98.0
5,1/3-3,93.0
6,1/3-4,97.0
7,1/3-5,106.0
8,1/3-6,97.0
9,1/3-7,117.0
10,1/3-8,110.0
11,1/3-10,117.0
12,1/5-1,97.0
13,1/5-2,97.0
14,1/5-3 S,94.0
15,1/5-4 S,93.0
16,1/6-1,102.0
17,1/6-3,103.0
18,1/6-6,95.0
19,1/9-3,111.0
20,1/9-3 R,111.0
21,1/9-4,100.0
22,1/9-4 R,100.0
23,2/1-2,94.0
24,2/1-7,106.0
25,2/1-9,89.0
26,2/1-10,89.0
27,2/1-11,91.0
28,2/1-12,91.0
29,2/1-9 A,89.0
30,2/2-1,84.0
31,2/2-2,91.0
32,2/2-3,92.0
33,2/2-4,85.0
34,2/2-5,89.0
35,2/3-1,84.0
36,2/3-2,85.0
37,2/3-3,88.0
38,2/3-4,96.0
39,2/4-1,98.0
40,2/4-10,102.0
41,2/4-11,101.0
42,2/4-12,97.0
43,2/4-13,95.0
44,2/4-14,94.0
45,2/4-14 R,106.0
46,2/4-14 R2,94.0
47,2/4-15 S,94.0
48,2/4-15 SR,94.0
49,2/4-16 R,94.0
50,2/4-18 R,110.0
51,2/4-2,98.0
52,2/4-3,124.0
53,2/4-4,98.0
54,2/4-5,91.0
55,2/4-6,93.0
56,2/4-7,102.0
57,2/4-8,103.0
58,2/4-9,104.0
59,2/4-16,94.0
60,2/4-17,110.0
61,2/4-18,94.0
62,2/4-20,113.0
63,2/5-1,95.0
64,2/5-10 A,88.0
65,2/5-2,101.0
66,2/5-3,101.0
67,2/5-4,103.0
68,2/5-5,100.0
69,2/5-6,93.0
70,2/5-7,100.0
71,2/5-8,92.0
72,2/5-9,91.0
73,2/5-10,88.0
74,2/5-11,104.0
75,2/5-12,98.0
76,2/6-1,98.0
77,2/6-2,95.0
78,2/6-3,96.0
79,2/6-4 S,77.0
80,2/6-5,93.0
81,2/7-4,99.0
82,2/7-5,99.0
83,2/7-8,104.0
84,2/7-10,109.0
85,2/7-12,110.0
86,2/7-13,108.0
87,2/7-14,96.0
88,2/7-14 R,93.0
89,2/7-15,94.0
90,2/7-16,96.0
91,2/7-17,98.0
92,2/7-18,98.0
93,2/7-19,98.0
94,2/7-19 R,95.0
95,2/7-21 S,93.0
96,2/7-21 SR,100.0
97,2/7-22,93.0
98,2/7-23 S,100.0
99,2/7-26 S,100.0
100,2/7-29,114.0
101,2/7-30,114.0
102,2/7-31,121.0
103,2/8-1,87.0
104,2/8-12 S,94.0
105,2/8-13,94.0
106,2/8-15,94.0
107,2/8-16 S,113.0
108,2/8-17 A,110.0
109,2/8-17 S,110.0
110,2/8-2,95.0
111,2/8-3,103.0
112,2/8-5,102.0
113,2/8-7,101.0
114,2/9-1,102.0
115,2/9-2,93.0
116,2/9-3,92.0
117,2/9-4,115.0
118,2/10-1 S,93.0
119,2/10-2,97.0
120,2/11-1,95.0
121,2/11-10 S,119.0
122,2/11-7,95.0
123,2/11-8,89.0
124,2/11-9,115.0
125,2/12-1,93.0
126,2/12-2 S,93.0
127,3/4-1,92.0
128,3/5-1,89.0
129,3/5-2,92.0
130,3/6-1,98.0
131,3/7-1,93.0
132,3/7-2,77.0
133,3/7-3,92.0
134,3/7-4,91.0
135,3/7-5,91.0
136,3/7-6,87.0
137,6/3-1,109.0
138,6/3-2,111.0
139,7/1-1,116.0
140,7/1-2 S,130.0
141,7/3-1,95.0
142,7/4-1,106.0
143,7/4-1,168.0
144,7/4-2,125.0
145,7/7-1,106.0
146,7/7-2,105.0
147,7/7-3,106.0
148,7/7-4,124.0
149,7/8-1,109.0
150,7/8-2,108.0
151,7/8-3,106.0
152,7/8-4,107.0
153,7/8-5 S,126.0
154,7/9-1,101.0
155,7/11-10 S,126.0
156,7/11-11 S,123.0
157,7/11-4,106.0
158,7/11-5,105.0
159,7/11-6,96.0
160,7/11-7,112.0
161,7/11-7 R,112.0
162,7/11-8,102.0
163,7/11-9,106.0
164,7/12-11,90.0
165,8/1-1,98.0
166,8/3-1,120.0
167,8/3-2,100.0
168,8/4-1,88.0
169,8/9-1,93.0
170,8/10-1,93.0
171,8/10-2,91.0
172,8/11-1,91.0
173,8/12-1,97.0
174,9/2-1,128.0
175,9/2-2,121.0
176,9/2-3,104.0
177,9/2-4 S,115.0
178,9/2-5,100.0
179,9/2-6 S,135.0
180,9/2-7 S,102.0
181,9/2-8 S,135.0
182,9/2-9 S,102.0
183,9/3-1,124.0
184,9/3-2,147.0
185,9/4-1,97.0
186,9/4-2,99.0
187,9/4-3,100.0
188,9/4-4,103.0
189,9/4-5,121.0
190,9/8-1,98.0
191,9/10-1,88.0
192,9/11-1,90.0
193,9/12-1,87.0
194,10/5-1,122.0
195,10/7-1,110.0
196,10/8-1,105.0
197,11/5-1,199.0
198,11/10-1,90.0
199,15/2-1,134.0
200,15/3-6,128.0
201,15/3-7,127.0
202,15/3-8,133.0
203,15/5-5,137.0
204,15/5-6,133.0
205,15/6-1,125.0
206,15/6-6,135.0
207,15/6-7,132.0
208,15/6-8 A,127.0
209,15/6-8 S,127.0
210,15/6-9 A,161.0
211,15/6-9 B,161.0
212,15/6-9 S,161.0
213,15/8-1,137.0
214,15/9-1,131.0
215,15/9-10,123.0
216,15/9-11,113.0
217,15/9-14,128.0
218,15/9-18,120.0
219,15/9-19 A,109.0
220,15/9-19 B,109.0
221,15/9-19 S,106.0
222,15/9-19 SR,106.0
223,15/9-19 SR2,109.0
224,15/9-20 S,160.0
225,15/9-21 S,156.0
226,15/9-22,129.0
227,15/12-1,119.0
228,15/12-10 S,107.0
229,15/12-11 S,122.0
230,15/12-2,111.0
231,15/12-3,111.0
232,15/12-4,110.0
233,15/12-8,110.0
234,15/12-12,113.0
235,15/12-13,105.0
236,15/12-13 A,105.0
237,15/12-13 B,105.0
238,15/12-14,136.0
239,15/12-15,113.0
240,15/12-16 S,127.0
241,15/12-17 A,130.0
242,15/12-17 S,130.0
243,15/12-18 A,134.0
244,15/12-18 S,134.0
245,15/12-19,128.0
246,15/12-20 S,136.0
247,15/12-6 S,107.0
248,15/12-7 S,108.0
249,15/12-8 A,110.0
250,16/1-1,140.0
251,16/1-2,164.0
252,16/1-3,133.0
253,16/1-4,135.0
254,16/1-5,130.0
255,16/1-5 A,130.0
256,16/1-6 A,143.0
257,16/1-6 S,143.0
258,16/1-7,141.0
259,16/1-8,133.0
260,16/1-9,136.0
261,16/2-1,139.0
262,16/2-2,145.0
263,16/2-3,162.0
264,16/2-4,161.0
265,16/3-1,142.0
266,16/3-2,142.0
267,16/3-3,147.0
268,16/4-1,121.0
269,16/4-2,119.0
270,16/4-3,131.0
271,16/4-4,140.0
272,16/5-1,127.0
273,16/6-1,145.0
274,16/7-1,106.0
275,16/7-2,108.0
276,16/7-3,110.0
277,16/7-4,103.0
278,16/7-5,107.0
279,16/7-6,103.0
280,16/7-7 S,103.0
281,16/7-8 S,103.0
282,16/8-1,106.0
283,16/8-2,103.0
284,16/9-1,98.0
285,16/10-1,109.0
286,16/10-2,104.0
287,16/10-3,115.0
288,16/10-4,116.0
289,16/11-1 S,94.0
290,16/11-2,97.0
291,17/3-1,298.0
292,17/4-1,132.0
293,17/9-1,168.0
294,17/9-1 R,168.0
295,17/10-1,114.0
296,17/11-1,102.0
297,17/11-2,112.0
298,17/12-1,142.0
299,17/12-1 R,142.0
300,17/12-2,128.0
301,17/12-2,93.0
302,17/12-3,137.0
303,18/10-1,121.0
304,18/11-1,141.0
305,24/6-1,149.0
306,24/6-2,148.0
307,24/6-3,144.0
308,24/6-4,144.0
309,24/9-1,143.0
310,24/9-2,143.0
311,24/9-3,145.0
312,24/9-4,144.0
313,24/9-5,151.0
314,24/9-6,153.0
315,24/9-7,153.0
316,24/9-7 A,153.0
317,24/9-7 B,153.0
318,24/9-7 C,153.0
319,24/9-8,148.0
320,24/12-1,138.0
321,24/12-1 R,138.0
322,24/12-2,151.0
323,24/12-3 S,143.0
324,24/12-4,140.0
325,24/12-5 S,141.0
326,25/1-1,125.0
327,25/1-4,133.0
328,25/1-6,129.0
329,25/1-7,126.0
330,25/1-7 R,126.0
331,25/1-7 R2,123.0
332,25/1-7 R3,123.0
333,25/1-7 R4,123.0
334,25/1-9,135.0
335,25/2-1,127.0
336,25/2-10 S,141.0
337,25/2-10 SR,145.0
338,25/2-12 A,137.0
339,25/2-15 R,142.0
340,25/2-15 R2,142.0
341,25/2-16 S,139.0
342,25/2-2,129.0
343,25/2-3,138.0
344,25/2-4,137.0
345,25/2-5,141.0
346,25/2-6,141.0
347,25/2-7,141.0
348,25/2-8,118.0
349,25/2-9,137.0
350,25/2-11,143.0
351,25/2-12,137.0
352,25/2-13,139.0
353,25/2-14,139.0
354,25/2-15,138.0
355,25/3-1,136.0
356,25/4-1,145.0
357,25/4-2,144.0
358,25/4-3,147.0
359,25/4-4,141.0
360,25/4-5,146.0
361,25/4-6 S,136.0
362,25/4-6 SR,145.0
363,25/4-7,142.0
364,25/4-8,145.0
365,25/4-9 S,149.0
366,25/5-1,143.0
367,25/5-1 A,143.0
368,25/5-2,139.0
369,25/5-3,140.0
370,25/5-4,145.0
371,25/5-5,147.0
372,25/6-1,147.0
373,25/6-2,145.0
374,25/6-3,134.0
375,25/7-1 S,152.0
376,25/7-2,149.0
377,25/7-3,150.0
378,25/7-4 S,149.0
379,25/7-5,146.0
380,25/7-6,150.0
381,25/8-1,138.0
382,25/8-10 S,154.0
383,25/8-12 A,150.0
384,25/8-12 S,150.0
385,25/8-15 S,189.0
386,25/8-2,151.0
387,25/8-3,155.0
388,25/8-4,155.0
389,25/8-5 S,151.0
390,25/8-5 SR,151.0
391,25/8-6,153.0
392,25/8-7,148.0
393,25/8-11,146.0
394,25/8-13,146.0
395,25/8-8 A,152.0
396,25/8-8 B,152.0
397,25/8-8 S,152.0
398,25/8-9,150.0
399,25/8-9 A,150.0
400,25/9-1,136.0
401,25/9-2 S,147.0
402,25/10-1,134.0
403,25/10-1 R,134.0
404,25/10-2,130.0
405,25/10-2 R,130.0
406,25/10-3,136.0
407,25/10-4,151.0
408,25/10-4 R,151.0
409,25/10-5,150.0
410,25/10-6 S,140.0
411,25/10-7 S,142.0
412,25/10-8,140.0
413,25/10-8 A,140.0
414,25/11-1,154.0
415,25/11-17,153.0
416,25/11-18,150.0
417,25/11-19 S,154.0
418,25/11-19 SR,154.0
419,25/11-2,140.0
420,25/11-21 A,155.0
421,25/11-21 S,155.0
422,25/11-3,137.0
423,25/11-4,137.0
424,25/11-5,147.0
425,25/11-6,151.0
426,25/11-7,149.0
