field_name,description_heading,description,field_id
ALBUSKJELL,Development ,"Albuskjell is a field in the southern part of the Norwegian sector in the North Sea, 20 kilometres west of the Ekofisk field. The water depth is 70 metres. Albuskjell was discovered in 1972, and the plan for development and operation (PDO) was approved in 1975. The field was developed with two steel installations for drilling and production. Production started in 1979.",43437
ALBUSKJELL,Reservoir ,"Albuskjell produced gas and condensate from Maastrichtian and lower Paleocene chalk. The deposit is located above a salt dome. The main reservoir is in the Upper Cretaceous Tor Formation, at a depth of 3,200 metres. The overlying Ekofisk Formation has poorer reservoir quality and has hardly been drained. There are significant remaining resources.",43437
ALBUSKJELL,Recovery ,The field was produced by pressure depletion.,43437
ALBUSKJELL,Transport ,The well stream was transported via pipeline to the Ekofisk Complex for export.,43437
ALVE,Development ,"Alve is a field in the Norwegian Sea, 16 kilometres southwest of the Norne field. The water depth is 370 metres. Alve was discovered in 1990, and the plan for development and operation (PDO) was approved in 2007. The development concept is a standard subsea template with four well slots and three production wells. Alve is tied to the Norne production, storage and offloading vessel (FPSO) by a pipeline. Production started in 2009.",4444332
ALVE,Reservoir ,"Alve produces oil and gas from sandstone of Early and Middle Jurassic age in the Tilje, Not and Garn Formations. The reservoir lies at a depth of 3,600 metres and has moderate to good quality. ",4444332
ALVE,Recovery ,The field is produced by pressure depletion.,4444332
ALVE,Transport ,The oil is offloaded from the Norne FPSO and the gas is transported via the Norne pipeline to the Åsgard Transport System (ÅTS) and further to the Kårstø terminal for export. ,4444332
ALVHEIM,Development ,"Alvheim is a field in the central part of the North Sea, ten kilometres west of the Heimdal field and near the border to the UK sector. The field includes the six discoveries 24/6-2 (Kameleon), 24/6-4 (Boa), 25/4-7 (Kneler), 25/4-10 S (Viper), 25/7-5 (Kobra) and 25/4-3 (Gekko). Boa lies partly in the UK sector. The water depth is 120-130 metres. Alvheim was discovered in 1998, and the plan for development and operation (PDO) was approved in 2004. The field is developed with subsea wells tied to a production, storage and offloading vessel, Alvheim FPSO. Production started in 2008. The Vilje, Volund and Bøyla fields are tied-back to Alvheim. The Skogul discovery has been tied-back to the Alvheim FPSO via the Vilje field.",2845712
ALVHEIM,Reservoir ,"Alvheim produces oil and gas from Paleocene sandstone in the Hermod and Heimdal Formations. The reservoirs are in submarine fan deposits and lie mostly at depths of 2,100 to 2,200 metres. The reservoir quality is good. ",2845712
ALVHEIM,Recovery ,The field is produced by natural water drive from an underlying aquifer.,2845712
ALVHEIM,Transport ,The oil is stabilised and stored on the Alvheim FPSO before it is exported by tankers. Processed rich gas is transported by pipeline from Alvheim to the Scottish Area Gas Evacuation (SAGE) pipeline on the UK continental shelf.,2845712
ATLA,Development ,"Atla is a field in the central part of the North Sea, 20 kilometres northeast of the Heimdal field. The water depth is 120 metres. Atla was discovered in 2010, and the plan for development and operation (PDO) was approved in 2011. The field has been developed with one production well which is connected to a subsea facility, and is tied-back to Heimdal via the Skirne field. Production started in 2012.",21106284
ATLA,Reservoir ,"Atla produces gas from Middle Jurassic sandstone in the Brent Group. The reservoir lies at a depth of 2,700 metres and has good quality. ",21106284
ATLA,Recovery ,The field is produced by pressure depletion.,21106284
ATLA,Transport ,The well stream is transported via the Skirne/Byggve subsea facility to Heimdal for processing and export.,21106284
BALDER,Reservoir ,"Balder, including Ringhorne, produces oil from several separate deposits in sandstone of Jurassic, Paleocene and Eocene age. Balder produces from the Heimdal and Hermod Formations as well as from the injected sand complex above them. Ringhorne produces from the Hugin, Ty and Hermod Formations. The reservoirs are of good to very good quality. The Balder reservoir lies at a depth of 1,700 metres and the Ringhorne reservoir at a depth of 1,900 metres. ",43562
