unit,NPDIDunit,Level,parentunit,country
AGAT FM,2,FORMATION,CROMER KNOLL GP,Norway
ALKE FM,211,FORMATION,HEGRE GP,Norway
AMUNDSEN FM,4,FORMATION,DUNLIN GP,United Kingdom
ANDREW FM,5,FORMATION,ROGALAND GP,United Kingdom
BALDER FM,6,FORMATION,ROGALAND GP,Norway
BLODØKS FM,13,FORMATION,SHETLAND GP,Norway
BLÆREROT FM,14,FORMATION,BILLEFJORDEN GP,Norway
BROOM FM,17,FORMATION,BRENT GP,United Kingdom
BRYGGE FM,18,FORMATION,HORDALAND GP,United Kingdom
BRYNE FM,19,FORMATION,VESTLAND GP,Norway
BURTON FM,20,FORMATION,DUNLIN GP,United Kingdom
BØRGLUM UNIT,21,FORMATION,BOKNFJORD GP,Norway
COOK FM,24,FORMATION,DUNLIN GP,United Kingdom
DELFIN FM (INFORMAL),204,FORMATION,SHETLAND GP,Norway
DRAKE FM,27,FORMATION,DUNLIN GP,United Kingdom
DRAUPNE FM,28,FORMATION,VIKING GP,Norway
EGERSUND FM,30,FORMATION,BOKNFJORD GP,Norway
EGGA FM (INFORMAL),31,FORMATION,ROGALAND GP,United Kingdom
EIRIKSSON FM,32,FORMATION,STATFJORD GP,Denmark
EKOFISK FM,33,FORMATION,SHETLAND GP,Norway
ELDFISK FM,34,FORMATION,TYNE GP,Norway
ETIVE FM,35,FORMATION,BRENT GP,United Kingdom
FALK FM,36,FORMATION,GIPSDALEN GP,Norway
FARSUND FM,39,FORMATION,TYNE GP,Norway
FENSFJORD FM,40,FORMATION,VIKING GP,Norway
FISKEBANK FM,41,FORMATION,ROGALAND GP,United Kingdom
FJERRITSLEV FM,42,FORMATION, ,Norway
FLEKKEFJORD FM,43,FORMATION,BOKNFJORD GP,Norway
FORTIES FM,44,FORMATION,ROGALAND GP,United Kingdom
FRIGG FM,45,FORMATION,HORDALAND GP,United Kingdom
FRUHOLMEN FM,46,FORMATION,REALGRUNNEN SUBGP,Norway
FUGLEN FM,47,FORMATION,ADVENTDALEN GP,Norway
GARN FM,48,FORMATION,FANGST GP,Norway
GASSUM FM,49,FORMATION, ,Norway
GRID FM,53,FORMATION,HORDALAND GP,United Kingdom
HARDRÅDE FM,56,FORMATION,SHETLAND GP,Norway
HAUGESUND FM,57,FORMATION,TYNE GP,Norway
HAVERT FM,58,FORMATION,SASSENDALEN GP,Norway
HEATHER FM,60,FORMATION,VIKING GP,Norway
HEIMDAL FM,62,FORMATION,ROGALAND GP,United Kingdom
HEKKINGEN FM,63,FORMATION,ADVENTDALEN GP,Norway
HERMOD FM,64,FORMATION,ROGALAND GP,United Kingdom
HIDRA FM,65,FORMATION,SHETLAND GP,Norway
HOD FM,66,FORMATION,SHETLAND GP,Norway
HUGIN FM,69,FORMATION,VESTLAND GP,Norway
ILE FM,70,FORMATION,FANGST GP,Norway
INTRA BALDER FM SS,7,FORMATION,ROGALAND GP,United Kingdom
INTRA DRAUPNE FM SS,26,FORMATION,VIKING GP,Norway
INTRA HEATHER FM SS,59,FORMATION,VIKING GP,Norway
INTRA MELKE FM SS,104,FORMATION,VIKING GP,Norway
INTRA ÅSGARD FM SS,210,FORMATION,CROMER KNOLL GP,Norway
ISBJØRN FM,72,FORMATION,BJARMELAND GP,Norway
JOHANSEN FM,73,FORMATION,DUNLIN GP,United Kingdom
JORSALFARE FM,74,FORMATION,SHETLAND GP,Norway
KAI FM,77,FORMATION,NORDLAND GP,Norway
KLAPPMYSS FM,80,FORMATION,SASSENDALEN GP,Norway
KLIPPFISK FM,81,FORMATION,ADVENTDALEN GP,Norway
KNURR FM,82,FORMATION,ADVENTDALEN GP,Norway
KOBBE FM,83,FORMATION,SASSENDALEN GP,Norway
KOLJE FM,84,FORMATION,ADVENTDALEN GP,Norway
KOLMULE FM,85,FORMATION,ADVENTDALEN GP,Norway
KROSSFJORD FM,87,FORMATION,VIKING GP,Norway
KUPFERSCHIEFER FM,88,FORMATION,ZECHSTEIN GP,Norway
KVEITE FM,89,FORMATION,NYGRUNNEN GP,Norway
KVITING FM,90,FORMATION,NYGRUNNEN GP,Norway
KVITNOS FM,91,FORMATION,SHETLAND GP,Norway
KYRRE FM,92,FORMATION,SHETLAND GP,Norway
LANGE FM,94,FORMATION,CROMER KNOLL GP,Norway
LISTA FM,95,FORMATION,ROGALAND GP,Norway
LOMVI FM,96,FORMATION,HEGRE GP,Norway
LUNDE FM,97,FORMATION,HEGRE GP,Norway
LYR FM,98,FORMATION,CROMER KNOLL GP,Norway
LYSING FM,99,FORMATION,CROMER KNOLL GP,Norway
MANDAL FM,101,FORMATION,TYNE GP,Norway
MAUREEN FM,102,FORMATION,ROGALAND GP,United Kingdom
MELKE FM,105,FORMATION,VIKING GP,Norway
MIME FM,106,FORMATION,CROMER KNOLL GP,Norway
MOLO FM,209,FORMATION,NORDLAND GP,Norway
NANSEN FM,108,FORMATION,STATFJORD GP,Denmark
NAUST FM,109,FORMATION,NORDLAND GP,Norway
NESS FM,110,FORMATION,BRENT GP,United Kingdom
NISE FM,112,FORMATION,SHETLAND GP,Norway
NO FORMAL NAME,111,FORMATION, ,Norway
NORDMELA FM,118,FORMATION,REALGRUNNEN SUBGP,Norway
NOT FM,120,FORMATION,FANGST GP,Norway
OSEBERG FM,123,FORMATION,BRENT GP,United Kingdom
POLARREV FM,124,FORMATION,BJARMELAND GP,Norway
RAN SANDSTONE UNITS,125,FORMATION,CROMER KNOLL GP,Norway
RANNOCH FM,126,FORMATION,BRENT GP,United Kingdom
RATTRAY FM,206,FORMATION,FLADEN GP,Norway
RAUDE FM,127,FORMATION,STATFJORD GP,Denmark
ROGN FM,134,FORMATION,VIKING GP,Norway
ROR FM,135,FORMATION,BÅT GP,Norway
RØDBY FM,137,FORMATION,CROMER KNOLL GP,Norway
RØYE FM,138,FORMATION,TEMPELFJORDEN GP,Norway
SANDNES FM,139,FORMATION,VESTLAND GP,Norway
SAUDA FM,141,FORMATION,BOKNFJORD GP,Norway
SELE FM,142,FORMATION,ROGALAND GP,Norway
SKADE FM,145,FORMATION,HORDALAND GP,United Kingdom
SKAGERRAK FM,146,FORMATION,HEGRE GP,Norway
SLEIPNER FM,148,FORMATION,VESTLAND GP,Norway
SMITH BANK FM,149,FORMATION,HEGRE GP,Norway
SNADD FM,150,FORMATION,STORFJORDEN SUBGP,Norway
SOGNEFJORD FM,151,FORMATION,VIKING GP,Norway
SOLA FM,152,FORMATION,CROMER KNOLL GP,Norway
SOLDOGG FM,153,FORMATION,BILLEFJORDEN GP,Norway
SPEKK FM,155,FORMATION,VIKING GP,Norway
SPRINGAR FM,156,FORMATION,SHETLAND GP,Norway
STEINKOBBE FM,158,FORMATION,SASSENDALEN GP,Norway
STØ FM,159,FORMATION,REALGRUNNEN SUBGP,Norway
SVARTE FM,160,FORMATION,SHETLAND GP,Norway
TANG FM,161,FORMATION,ROGALAND GP,Norway
TARBERT FM,162,FORMATION,BRENT GP,United Kingdom
TARE FM,163,FORMATION,ROGALAND GP,Norway
TAU FM,164,FORMATION,BOKNFJORD GP,Norway
TEIST FM,166,FORMATION,HEGRE GP,Norway
TETTEGRAS FM,168,FORMATION,BILLEFJORDEN GP,Norway
TILJE FM,169,FORMATION,BÅT GP,Norway
TOFTE FM,170,FORMATION,BÅT GP,Norway
TOR FM,171,FORMATION,SHETLAND GP,Norway
TORSK FM,172,FORMATION,SOTBAKKEN GP,Norway
