wellbore_name,topdepth,bottomdepth,unit_name,unit_level,unit_id,completion_date,wellbore_id
1/2-1,3275,3335,LISTA FM,FORMATION,95,1989-04-06,1382
1/2-2,1675,3077,HORDALAND GP,GROUP,67,2006-02-02,5192
1/3-1,97,2995,NORDLAND GP,GROUP,113,1968-11-11,154
1/3-2,98,1533,NORDLAND GP,GROUP,113,1969-07-27,165
1/3-3,3059,3148,VIDAR FM,FORMATION,187,1983-03-24,87
1/3-4,2688,2724,LISTA FM,FORMATION,95,1983-08-05,2
1/3-5,3245,3288,VÅLE FM,FORMATION,190,1985-11-02,223
1/3-6,3530,3586,HOD FM,FORMATION,66,1991-06-22,1521
1/3-7,3175,3260,FORTIES FM,FORMATION,44,1995-05-25,2505
1/3-8,4685,4733,ÅSGARD FM,FORMATION,198,1997-05-27,2829
1/3-9 S,4119,4135,MANDAL FM,FORMATION,101,1998-07-31,3362
1/3-10,1685,3059,HORDALAND GP,GROUP,67,2008-07-01,5614
1/3-10 A,3320,3632,ROGALAND GP,GROUP,131,2008-02-13,5779
1/3-11,3502,3595,EKOFISK FM,FORMATION,33,2008-08-30,5806
1/3-12 S,3272,3296,LISTA FM,FORMATION,95,2010-07-22,6260
1/5-1,97,491,NORDLAND GP,GROUP,113,1973-10-19,237
1/5-2,2831,3069,ROGALAND GP,GROUP,131,1974-04-15,238
1/5-3 S,1309,1565,HORDALAND GP,GROUP,67,1998-06-08,3257
1/5-4 S,2994,3077,SHETLAND GP,GROUP,143,2002-05-22,4521
1/5-5,5529,5540,TUXEN FM,FORMATION,175,2016-09-16,7874
1/6-1,4800,4822,ZECHSTEIN GP,GROUP,194,1972-11-26,239
1/6-2,3295,3383,HOD FM,FORMATION,66,1973-12-01,240
1/6-3,3229,3343,TOR FM,FORMATION,171,1974-11-09,241
1/6-4,3253,3335,LISTA FM,FORMATION,95,1976-09-04,242
1/6-5,1695,1721,ROGALAND GP,GROUP,131,1990-02-09,1508
1/6-6,95,1835,NORDLAND GP,GROUP,113,1993-08-03,1839
1/6-7,3389,3665,TOR FM,FORMATION,171,1992-12-07,1928
1/9-1,2884,2944,SELE FM,FORMATION,142,1977-02-17,243
1/9-1 R,3645,3659,BLODØKS FM,FORMATION,13,1987-05-17,1444
1/9-2,3308,3459,HOD FM,FORMATION,66,1977-12-08,244
1/9-3,1150,2771,HORDALAND GP,GROUP,67,1977-11-27,245
1/9-3 R,2905,2943,SELE FM,FORMATION,142,1978-09-30,246
