,unit,NPDIDunit,Level,parentunit,country
0,AGAT FM,2,FORMATION,CROMER KNOLL GP,Norway
1,ALKE FM,211,FORMATION,HEGRE GP,Norway
2,AMUNDSEN FM,4,FORMATION,DUNLIN GP,United Kingdom
3,ANDREW FM,5,FORMATION,ROGALAND GP,United Kingdom
4,BALDER FM,6,FORMATION,ROGALAND GP,Norway
5,BLODØKS FM,13,FORMATION,SHETLAND GP,Norway
6,BLÆREROT FM,14,FORMATION,BILLEFJORDEN GP,Norway
7,BROOM FM,17,FORMATION,BRENT GP,United Kingdom
8,BRYGGE FM,18,FORMATION,HORDALAND GP,United Kingdom
9,BRYNE FM,19,FORMATION,VESTLAND GP,Norway
10,BURTON FM,20,FORMATION,DUNLIN GP,United Kingdom
11,BØRGLUM UNIT,21,FORMATION,BOKNFJORD GP,Norway
12,COOK FM,24,FORMATION,DUNLIN GP,United Kingdom
13,DELFIN FM (INFORMAL),204,FORMATION,SHETLAND GP,Norway
14,DRAKE FM,27,FORMATION,DUNLIN GP,United Kingdom
15,DRAUPNE FM,28,FORMATION,VIKING GP,Norway
16,EGERSUND FM,30,FORMATION,BOKNFJORD GP,Norway
17,EGGA FM (INFORMAL),31,FORMATION,ROGALAND GP,United Kingdom
18,EIRIKSSON FM,32,FORMATION,STATFJORD GP,Denmark
19,EKOFISK FM,33,FORMATION,SHETLAND GP,Norway
