wellbore_name,operator,status,resource_content,start_date,completion_date,field,discovery,age,formation,area
1/2-1,Phillips Petroleum Norsk AS,P&A,OIL,1989-03-20,1989-04-06,BLANE,1/2-1 Blane,CAMPANIAN           ,TOR FM              ,NORTH SEA
1/2-2,Paladin Resources Norge AS,P&A,OIL SHOWS,2005-12-14,2006-02-02,,,PALEOCENE           ,EKOFISK FM          ,NORTH SEA
1/3-1,A/S Norske Shell,P&A,GAS,1968-06-07,1968-11-11,,1/3-1,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA
1/3-2,A/S Norske Shell,P&A,DRY,1969-05-14,1969-07-27,,,EARLY CRETACEOUS    ,SOLA FM             ,NORTH SEA
1/3-3,Elf Petroleum Norge AS,P&A,OIL,1982-08-22,1983-03-24,TAMBAR,1/3-3 Tambar,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA
1/3-4,Elf Petroleum Norge AS,P&A,OIL SHOWS,1983-02-15,1983-08-05,,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA
1/3-5,A/S Norske Shell,P&A,DRY,1984-01-10,1985-11-02,,,EARLY PERMIAN       ,ROTLIEGEND GP       ,NORTH SEA
1/3-6,Elf Petroleum Norge AS,P&A,GAS/CONDENSATE,1991-11-03,1991-06-22,OSELVAR,1/3-6 Oselvar,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA
1/3-7,Elf Petroleum Norge AS,P&A,OIL,1995-02-13,1995-05-25,OSELVAR,1/3-6 Oselvar,PALEOCENE           ,VÅLE FM             ,NORTH SEA
1/3-8,Amoco Norway Oil Company,P&A,SHOWS,1996-12-12,1997-05-27,,,TRIASSIC            ,SMITH BANK FM       ,NORTH SEA
1/3-9 S,BP Norway Limited U.A.,RE-CLASS TO DEV,OIL,1998-08-05,1998-07-31,TAMBAR,1/3-3 Tambar,LATE JURASSIC       ,ULA FM              ,NORTH SEA
1/3-10,DONG E&P Norge AS,P&A,OIL/GAS,2007-10-25,2008-07-01,OSELVAR,1/3-6 Oselvar,PALEOCENE           ,LISTA FM            ,NORTH SEA
1/3-10 A,DONG E&P Norge AS,P&A,OIL/GAS,2008-07-01,2008-02-13,OSELVAR,1/3-6 Oselvar,PALEOCENE           ,SELE FM             ,NORTH SEA
1/3-11,DONG E&P Norge AS,P&A,OIL,2008-05-28,2008-08-30,,1/3-11 (Ipswich),PALEOCENE           ,EKOFISK FM          ,NORTH SEA
1/3-12 S,BG Norge AS,P&A,DRY,2009-01-12,2010-07-22,,,LATE TRIASSIC       ,SKAGERRAK FM        ,NORTH SEA
1/5-1,Phillips Petroleum Company Norway,JUNKED,NOT APPLICABLE,1973-12-10,1973-10-19,,,PLIOCENE            ,NORDLAND GP         ,NORTH SEA
1/5-2,Phillips Petroleum Company Norway,P&A,OIL,1973-10-19,1974-04-15,FLYNDRE,1/5-2 Flyndre,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA
1/5-3 S,Conoco Norway Inc.,P&A,OIL,1998-10-06,1998-06-08,,1/5-3 S,MIOCENE             ,HORDALAND GP        ,NORTH SEA
1/5-4 S,Amerada Hess Norge AS,P&A,OIL SHOWS,2002-04-15,2002-05-22,,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA
1/5-5,Total E&P Norge AS,P&A,DRY,2016-02-24,2016-09-16,,,                    ,BRYNE FM            ,NORTH SEA
1/6-1,A/S Norske Shell,P&A,GAS/CONDENSATE,1972-10-07,1972-11-26,ALBUSKJELL,1/6-1 Albuskjell,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA
1/6-2,A/S Norske Shell,P&A,SHOWS,1972-11-28,1973-12-01,,,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA
1/6-3,A/S Norske Shell,P&A,GAS/CONDENSATE,1974-12-04,1974-11-09,ALBUSKJELL,1/6-1 Albuskjell,LATE CRETACEOUS     ,TOR FM              ,NORTH SEA
1/6-4,A/S Norske Shell,P&A,DRY,1975-12-29,1976-09-04,,,LATE CRETACEOUS     ,TOR FM              ,NORTH SEA
1/6-5,Conoco Norway Inc.,P&A,SHOWS,1990-07-20,1990-02-09,,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA
1/6-6,A/S Norske Shell,P&A,SHOWS,1992-10-02,1993-08-03,,,TRIASSIC            ,SMITH BANK FM       ,NORTH SEA
1/6-7,Conoco Norway Inc.,P&A,SHOWS,1992-03-16,1992-12-07,,,LATE JURASSIC       ,HAUGESUND FM        ,NORTH SEA
1/9-1,Den norske stats oljeselskap a.s,P&A,GAS/CONDENSATE,1976-10-14,1977-02-17,,1/9-1 Tommeliten Alpha,LATE CRETACEOUS     ,HIDRA FM            ,NORTH SEA
1/9-1 R,Den norske stats oljeselskap a.s,P&A,GAS/CONDENSATE,1987-08-05,1987-05-17,,1/9-1 Tommeliten Alpha,LATE CRETACEOUS     ,HIDRA FM            ,NORTH SEA
1/9-2,Den norske stats oljeselskap a.s,P&A,OIL SHOWS,1977-01-06,1977-12-08,,1/9-1 Tommeliten Alpha,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA
1/9-3,Den norske stats oljeselskap a.s,SUSPENDED,DRY,1977-08-13,1977-11-27,,1/9-1 Tommeliten Alpha,EOCENE              ,HORDALAND GP        ,NORTH SEA
1/9-3 R,Den norske stats oljeselskap a.s,P&A,GAS/CONDENSATE,1978-05-27,1978-09-30,,1/9-1 Tommeliten Alpha,LATE JURASSIC       ,HAUGESUND FM        ,NORTH SEA
1/9-4,Den norske stats oljeselskap a.s,SUSPENDED,GAS/CONDENSATE,1977-08-13,1978-12-01,TOMMELITEN GAMMA,1/9-4 Tommeliten Gamma,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA
1/9-4 R,Den norske stats oljeselskap a.s,P&A,GAS/CONDENSATE,1991-04-21,1991-04-26,TOMMELITEN GAMMA,1/9-4 Tommeliten Gamma,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA
1/9-5,Den norske stats oljeselskap a.s,P&A,DRY,1978-03-10,1978-12-16,TOMMELITEN GAMMA,1/9-4 Tommeliten Gamma,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA
1/9-6 S,Den norske stats oljeselskap a.s,SUSPENDED,GAS/CONDENSATE,1982-03-21,1982-01-12,TOMMELITEN GAMMA,1/9-4 Tommeliten Gamma,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA
