wellborename,completiondate,topdepth,bottomdepth,formation,corelength
35/3-1,26.10.1976,3805,4020,AGAT FM,0
35/3-2,26.10.1980,3528,3722,AGAT FM,59
35/3-4,06.06.1981,3345,3583,AGAT FM,97
35/3-5,31.03.1982,3219,3510,AGAT FM,65
35/3-6,02.04.2002,2955,2958,AGAT FM,0
35/3-7 S,01.10.2009,3596,3998,AGAT FM,51
35/6-2 S,04.04.2009,3015,3391,AGAT FM,0
35/9-3,11.11.1997,2658,2703,AGAT FM,39
35/9-5,07.02.2010,2975,3114,AGAT FM,0
36/1-1,14.06.1975,1218,1358,AGAT FM,0
36/1-2,27.10.1975,2815,2865,AGAT FM,0
36/7-3,06.01.2002,2555,2632,AGAT FM,0
36/7-4,26.09.2016,2428,2554,AGAT FM,117
01-10-04,23.11.1995,2564,2670,AGAT FM,0
02-11-04,28.12.1997,2700,2730,AGAT FM,0
01-03-05,11.02.1990,3179,3780,AGAT FM,0
6205/3-1 R,30.11.1990,3179,3780,AGAT FM,0
33/2-2 S,10.06.2015,3113,3276,ALKE FM,0
33/12-2,23.08.1974,3749,4048,ALKE FM,0
24/12-1 R,14.08.1978,4698,4774,AMUNDSEN FM,0
25-02-04,20.10.1975,3965,4084,AMUNDSEN FM,0
25-02-05,04.08.1976,3605,3652,AMUNDSEN FM,0
25-02-12,12.11.1988,3876,3990,AMUNDSEN FM,9
25-02-13,25.01.1990,3645,3696,AMUNDSEN FM,21
25-05-01,01.08.1987,3129,3232,AMUNDSEN FM,0
25-06-01,03.02.1986,2344,2417,AMUNDSEN FM,0
25/8-5 S,22.09.1994,2922,3040,AMUNDSEN FM,0
25/8-5 SR,03.08.1997,2922,3040,AMUNDSEN FM,0
25-08-07,12.08.1995,2340,2380,AMUNDSEN FM,0
25-08-09,28.01.1997,2515,2548,AMUNDSEN FM,0
25/8-16 S,13.05.2009,2400,2495,AMUNDSEN FM,0
25-09-01,22.04.1995,2202,2301,AMUNDSEN FM,0
25-09-03,20.09.2009,2113,2218,AMUNDSEN FM,0
25/10-12 S,18.01.2015,2194,2241,AMUNDSEN FM,5
29-03-01,15.09.1986,4215,4389,AMUNDSEN FM,0
29-06-01,09.05.1982,4645,4729,AMUNDSEN FM,0
29-09-01,24.02.1984,4562,4640,AMUNDSEN FM,0
30/2-3,05.10.1992,4241,4288,AMUNDSEN FM,0
30/3-1 R,26.04.1982,4162,4227,AMUNDSEN FM,0
30-03-03,30.05.1983,3288,3387,AMUNDSEN FM,0
30-03-04,12.06.1985,3128,3232,AMUNDSEN FM,3
30/3-4 R,18.11.2001,3130,3234,AMUNDSEN FM,0
30/3-5 S,19.06.1992,4494,4538,AMUNDSEN FM,0
30/3-6 S,06.03.1994,5897,6027,AMUNDSEN FM,0
30/3-7 B,04.08.1998,4439,4611,AMUNDSEN FM,0
30/3-7 BR,17.11.2001,4439,4611,AMUNDSEN FM,0
30/3-7 S,12.12.1995,5234,5271,AMUNDSEN FM,0
30/3-10 S,29.04.2009,3905,4034,AMUNDSEN FM,0
30-04-02,16.05.1980,4243,4337,AMUNDSEN FM,15
30-06-01,22.09.1979,2589,2712,AMUNDSEN FM,0
30-06-02,11.12.1979,2513,2568,AMUNDSEN FM,0
30-06-03,07.03.1980,2768,2884,AMUNDSEN FM,0
30-06-04,11.05.1981,2893,2942,AMUNDSEN FM,0
30-06-05,15.08.1981,3123,3223,AMUNDSEN FM,0
30-06-07,24.08.1982,3023,3152,AMUNDSEN FM,0
30-06-08,06.08.1982,3471,3532,AMUNDSEN FM,0
30-06-09,16.12.1982,2964,3046,AMUNDSEN FM,0
30/6-9 R,12.05.1990,2962,3044,AMUNDSEN FM,0
30-06-11,30.03.1983,3768,3893,AMUNDSEN FM,0
30-06-14,08.02.1984,2734,2784,AMUNDSEN FM,0
30-06-15,05.09.1984,3174,3241,AMUNDSEN FM,0
30/6-17 A,18.03.1986,2488,2632,AMUNDSEN FM,16
30/6-17 R,04.02.1986,2441,2563,AMUNDSEN FM,4
30-06-18,23.11.1985,2983,3121,AMUNDSEN FM,0
30-06-19,21.06.1986,3198,3255,AMUNDSEN FM,0
30/6-19 R,25.05.1994,3197,3254,AMUNDSEN FM,0
30-06-20,13.04.1986,2792,2937,AMUNDSEN FM,0
30-06-21,09.04.1987,2922,3052,AMUNDSEN FM,0
30-06-22,13.07.1988,3170,3290,AMUNDSEN FM,0
30/6-22 R,02.06.1994,3169,3289,AMUNDSEN FM,0
30-06-23,01.07.1990,3102,3163,AMUNDSEN FM,0
30/6-24 S,06.12.1991,3581,3682,AMUNDSEN FM,0
30-06-26,07.10.2001,2598,2669,AMUNDSEN FM,0
30-06-27,30.10.2001,3095,3101,AMUNDSEN FM,0
30/8-1 S,01.03.1995,4556,4688,AMUNDSEN FM,0
30/8-1 SR,01.03.1996,4556,4691,AMUNDSEN FM,0
30/9-3 A,20.05.1984,3565,3679,AMUNDSEN FM,0
30/9-4 S,30.03.1985,4054,4173,AMUNDSEN FM,0
30/9-5 S,19.07.1985,2527,2604,AMUNDSEN FM,0
30-09-06,21.04.1987,2907,2981,AMUNDSEN FM,0
30-09-07,23.12.1988,3426,3535,AMUNDSEN FM,0
30-09-09,06.11.1989,2639,2757,AMUNDSEN FM,0
30-09-10,21.09.1990,3502,3622,AMUNDSEN FM,0
30/9-11 A,29.12.1990,2875,2973,AMUNDSEN FM,0
30/9-13 S,11.10.1991,3826,3976,AMUNDSEN FM,0
30/9-13 SR,17.07.2002,3830,3980,AMUNDSEN FM,0
30-09-15,05.01.1994,2489,2616,AMUNDSEN FM,0
30-09-16,08.08.1994,3267,3457,AMUNDSEN FM,0
30/9-28 S,26.02.2016,3515,3645,AMUNDSEN FM,0
30-10-05,01.05.1975,5010,5049,AMUNDSEN FM,0
30-11-03,14.03.1983,4324,4637,AMUNDSEN FM,0
30-11-04,24.07.1984,4319,4640,AMUNDSEN FM,5
30-12-01,07.03.1994,3549,3596,AMUNDSEN FM,0
31-01-01,15.02.2008,2767,2787,AMUNDSEN FM,0
31/2-1,09.11.1979,2134,2176,AMUNDSEN FM,0
31/2-1,09.11.1979,2273,2293,AMUNDSEN FM,0
31/2-1 R,09.11.1981,2135,2177,AMUNDSEN FM,0
31/2-1 R,09.11.1981,2274,2294,AMUNDSEN FM,0
31/2-2 R,06.10.1980,2202,2233,AMUNDSEN FM,0
31/2-2 R,06.10.1980,2344,2360,AMUNDSEN FM,0
31/2-3,20.07.1980,2055,2097,AMUNDSEN FM,0
31/2-3,20.07.1980,2176,2236,AMUNDSEN FM,0
31/2-4 R,06.04.1981,2107,2126,AMUNDSEN FM,0
31/2-4 R,06.04.1981,2241,2256,AMUNDSEN FM,0
31/2-4 R2,12.11.1982,2107,2126,AMUNDSEN FM,0
31/2-4 R2,12.11.1982,2241,2256,AMUNDSEN FM,0
31/2-5,21.12.1980,2277,2308,AMUNDSEN FM,0
31/2-5,21.12.1980,2387,2404,AMUNDSEN FM,0
31/2-5 R,20.07.1981,2270,2301,AMUNDSEN FM,0
31/2-5 R,20.07.1981,2380,2397,AMUNDSEN FM,0
31/2-5 R2,22.04.1984,2270,2301,AMUNDSEN FM,0
31/2-5 R2,22.04.1984,2380,2397,AMUNDSEN FM,0
31/2-8,18.08.1982,2896,2967,AMUNDSEN FM,0
31/2-8,18.08.1982,3035,3048,AMUNDSEN FM,0
