unit,level,parent,unit_id,parent_id,lithology,age
ADVENTDALEN GP,GROUP,,1,,"The Adventdalen Group comprises shales, siltstones and sandstones of Late Jurassic to Early Cretaceous age in Svalbard and throughout the Barents Sea Shelf.",Late Jurassic - Early Cretaceous.
AGAT FM,FORMATION,CROMER KNOLL GP,2,23.0,"In the type well the formation consists of white to light grey, fine- to medium-grained, moderately to well-sorted sandstones alternating with grey claystones. The sandstones are usually micaceous and glauconitic and sometimes contain small amounts of pyrite. The sandstones in the type well are carbonate- and silica-cemented in zones. In the reference well, the upper part of the formation consists of medium- and coarse-grained to pebbly sandstones and conglomerates alternating with dark grey claystones. The conglomerates are both matrix- and grain-supported. The claystones are often found as 0.5-5 m thick layers between the sandstones. They are dark grey, usually calcareous and contain varying amounts of siltstone. They may occasionally pass into light grey, micaceous, calcareous and glauconitic siltstones.",Aptian-Albian (possibly Early Cenomanian).
AKKAR MBR,MEMBER,FRUHOLMEN FM,3,46.0,"Grey to dark grey shales, interbedded sandstones, coal.",Norian (based on palynology).
ALGE MBR,MEMBER,HEKKINGEN FM,202,63.0,The Alge Member forms the lower high gamma intensity part of the Hekkingen Formation and consists of black paper shales rich in organic material.,"Late Oxfordian – Kimmeridgian, based on ammonites and palynology."
AMUNDSEN FM,FORMATION,DUNLIN GP,4,29.0,"In the well type section the formation consists of light to dark grey, firm, non-calcareous siltstones and shales, in part carbonaceous and pyritic. Thin, fine to coarse grained, grey calcareous and glauconitic sandstone beds are present in the marginal areas of the basin. In the Norwegian sector the formation is more calcareous, especially in the lower part.",Probably Hettangian to Sinemurian or Early Pliensbachian.
ANDREW FM,FORMATION,ROGALAND GP,5,131.0,"The Andrew Formation consists of sandstones with claystone interbeds. The sandstones are generally very fine to medium grained and are composed of subangular to subrounded, clear to orange-stained quartz and feldspar grains. The sandstones are poorly sorted and often have a calcareous cement. Thin stringers of limestone occur.",Paleocene.
BALDER FM,FORMATION,ROGALAND GP,6,131.0,"The Balder Formation is composed of laminated varicoloured, fissile shales with interbedded grey, green and buff, often pyritic, sandy tuffs and occasional stringers of limestone, dolomite and siderite. Sandstones are locally present, as shown in the type well (Fig 5.57).",Paleocene - Early Eocene.
BILLEFJORDEN GP,GROUP,,11,,"On the Finnmark Platform, medium- to coarse-grained, occasionally conglomeratic, sandstones and minor siltstones and coals dominate the basal part of the succession represented by the Soldogg Formation. These are overlain by a succession of stacked metre-scale fining-upward cycles of sandstone, siltstone, claystone and coal assigned to the Tettegras Formation. The upper part of the group, represented by the Blærerot Formation, is characterised by a basal unit of fossiliferous limestones, overlain by marine shales and fine- to medium-grained, fluvial and shallow marine sandstones. Sediments tentatively assigned to the group are very differently developed on the Loppa High where well 7120/2-1 penetrated 847 m of varicoloured arkosic breccias, conglomerates, ignimbrites and other types of volcanoclastic deposits (Fig 9.10). The basal 115 m are dominated by brownish siltstone and mudstone. The red nature of these sediments, together with their high content of volcanoclastics, makes them anomalous representatives of the Billefjorden Group in this area, although palynomorphs indicate an early Carboniferous age (Viséan PU to VF Miospore zones from 3467 to 2682 m and early Serpukhovian TK Zone from 2645 to 2630 m) (Lindström, in press). The only other arctic areas where lower Carboniferous red beds have been found are in the northern part of eastern Greenland (Stemmerik et al. 1993), but even there the change to red beds appears to have occurred in the late Tournaisian – i.e. older than the earliest datings on the Loppa High. The Loppa sequence’s overall lithology and tectonic setting seems rather to suggest closer affinities to the lowermost clastics of the overlying mid-Carboniferous Gipsdalen Group. More work is clearly needed on this problem, especially in view of this representing the only occurrence of volcanoclastics in the Upper Palaeozoic of the Barents Shelf; we note that dolerite dykes of probable mid- to late Carboniferous age have been reported by Lippard & Prestvik (1997) on Magerøy in Finnmark and mid-Carboniferous volcanics have also been identified on the adjacent Kola peninsula in northern Russia (Ulmishek 1982). In view of these uncertainties, this sequence has not yet been defined as a formational unit, and its assignment to the Billefjorden Group is still tentative.","The Billefjorden Group has been assigned to the Famennian to Viséan in the onshore areas of Bjørnøya and Spitsbergen (Dallmann et al. 1999; Worsley et al. 2001). The offshore development has been dated to the Viséan to early Serpukhovian. On the Finnmark Platform, palynomorphs suggest that the basal part of the group is of middle to late Viséan age (Bugge et al. 1995), i.e. significantly younger than the Famennian to Tournaisian age recorded for the basal sediments onshore. The upper part of the group is apparently of late Viséan to early Serpukhovian age (Bugge et al. 1995; Simon-Robertson 1992 and Geochem Group 1994). As noted above - the succession on the Loppa High has been dated to the Viséan to early Serpukhovian (Lindström, in press)."
BJARMELAND GP,GROUP,,12,,"The group is dominated by white to light grey bioclastic limestones containing a typical cool-water fauna of crinoids, bryozoans, brachiopods and siliceous sponges. Silty, dark grey to black, locally bituminous limestones characterise the deeper-water succession. Minor cherts occur, especially in the uppermost part. Siliciclastics are rare, except on the Polheim Subplatform where the group is unusually developed and dominated by fine-grained siliciclastics and marls (well 7120/1-1 R2). The Hambergfjellet Formation on Bjørnøya consists of basal sandstones which onlap all older units from basement to Gipsdalen Group, passing up into sandy bioclastic limestones with a fauna dominated by crinoids, bryozoans and brachiopods (Worsley et al. 2001).","Fusulinids suggest a mid-Sakmarian to late Artinskian age in 7128/6-1 (Ehrenberg et al. 2000). The base of the group is thought to be highly diachronous, oldest in the more distal settings and youngest on the platforms (Fig 9.4). The Hambergfjellet Formation on Bjørnøya is dated as late Artinskian based on fusulinids and conodonts (Nakrem 1991; Nakrem et al. 1992). Fusulinids indicate a similar age in cores 7128/12-U-01 and 7129/10-U-01 (Bugge et al. 1995; Ehrenberg et al. 2000)."
BLODØKS FM,FORMATION,SHETLAND GP,13,143.0,"The formation consists of red, green, grey and black shales and mudstones which are non-calcareous to moderately calcareous. In the central North Sea the formation may show a varied influx of marls, limestones and chalky limestones.",Latest Cenomanian to early Turonian.
