field_name,operator,status,discovery_wellbore,completion_date,situated_in,supply_base,field_id,wellbore_id
ALBUSKJELL,ConocoPhillips Skandinavia AS,Shut down, 1/6-1,1972-11-26,North Sea,,43437,239
ALVE,Equinor Energy AS,Producing, 6507/3-1,1990-10-26,Norwegian Sea,Sandnessjøen,4444332,1533
ALVHEIM,Aker BP ASA,Producing, 24/6-2,1998-08-07,North Sea,,2845712,3397
ATLA,Total E&P Norge AS,Producing, 25/5-7,2010-10-23,North Sea,,21106284,6423
BALDER,Vår Energi AS,Producing, 25/11-1,1967-09-07,North Sea,Dusavik,43562,143
BAUGE,Equinor Energy AS,Approved for production, 6407/8-6,2013-10-20,Norwegian Sea,Kristiansund,29446221,7265
BLANE,Repsol Norge AS,Producing, 1/2-1,1989-04-06,North Sea,,3437650,1382
BRAGE,Wintershall Dea Norge AS,Producing, 31/4-3,1980-11-05,North Sea,Mongstad,43651,402
BRYNHILD,Lundin Energy Norway AS,Shut down, 7/7-2,1992-04-25,North Sea,,21123063,1868
BYRDING,Equinor Energy AS,Producing, 35/11-13,2005-05-28,North Sea,Mongstad,28975067,5063
BØYLA,Aker BP ASA,Producing, 24/9-9 S,2009-07-10,North Sea,,22492497,6222
COD,ConocoPhillips Skandinavia AS,Shut down, 7/11-1,1968-06-15,North Sea,,43785,149
DRAUGEN,OKEA ASA,Producing, 6407/9-1,1984-07-09,Norwegian Sea,Kristiansund,43758,133
DUVA,Neptune Energy Norge AS,Approved for production, 36/7-4,2016-09-26,North Sea,Florø,34833026,7988
DVALIN,Wintershall Dea Norge AS,Producing, 6507/7-14 S,2010-09-26,Norwegian Sea,Kristiansund,29393934,6367
EDDA,ConocoPhillips Skandinavia AS,Shut down, 2/7-4,1972-03-09,North Sea,,43541,263
EDVARD GRIEG,Lundin Energy Norway AS,Producing, 16/1-8,2007-11-13,North Sea,Tananger,21675433,5612
EKOFISK,ConocoPhillips Skandinavia AS,Producing, 2/4-2,1969-12-24,North Sea,Tananger,43506,172
ELDFISK,ConocoPhillips Skandinavia AS,Producing, 2/7-1,1970-11-12,North Sea,Tananger,43527,179
EMBLA,ConocoPhillips Skandinavia AS,Producing, 2/7-20,1988-06-25,North Sea,Tananger,43534,1062
ENOCH,Repsol Sinopec North Sea Limited,Producing, ?,,North Sea,,3437659,0
FENJA,Neptune Energy Norge AS,Approved for production, 6406/12-3 S,2014-04-26,Norwegian Sea,Kristiansund,31164879,7322
FLYNDRE,Petrogas NEO UK Ltd,Producing, 1/5-2,1974-04-15,North Sea,,24635035,238
FRAM,Equinor Energy AS,Producing, 35/11-4,1990-12-29,North Sea,Mongstad,1578840,1523
FRAM H-NORD,Equinor Energy AS,Producing, 35/11-15 S,2007-06-28,North Sea,Mongstad,23410947,5517
FRIGG,Equinor Energy AS,Shut down, 25/1-1,1971-07-22,North Sea,,43555,190
FRØY,Aker BP ASA,Shut down, 25/5-1,1987-01-08,North Sea,,43597,884
GAUPE,A/S Norske Shell,Shut down, 6/3-1,1985-01-02,North Sea,,18161341,450
GIMLE,Equinor Energy AS,Producing, 34/10-48 S,2004-12-22,North Sea,Mongstad,4005142,4902
GINA KROG,Equinor Energy AS,Producing, 15/5-1,1978-08-04,North Sea,Dusavik,23384544,315
GJØA,Neptune Energy Norge AS,Producing, 35/9-1,1989-07-05,North Sea,Florø,4467574,1375
GLITNE,Aker BP ASA,Shut down, 15/5-5,1995-05-10,North Sea,Dusavik,1272071,2635
GOLIAT,Vår Energi AS,Producing, 7122/7-1,2000-05-10,Barents Sea,Hammerfest,5774394,4173
GRANE,Equinor Energy AS,Producing, 25/11-15,1991-12-25,North Sea,Dusavik,1035937,1872
GUDRUN,Equinor Energy AS,Producing, 15/3-1 S,1975-06-07,North Sea,Dusavik,18116481,309
GULLFAKS,Equinor Energy AS,Producing, 34/10-1,1978-08-09,North Sea,Mongstad,43686,424
GULLFAKS SØR,Equinor Energy AS,Producing, 34/10-2,1978-08-12,North Sea,Mongstad,43699,425
GUNGNE,Equinor Energy AS,Producing, 15/9-15,1982-01-08,North Sea,Dusavik,43464,74
